Date,Day,Phase,Activity,Responsible,Priority,Urgency,Complexity,Estimated_Hours
2025-06-02,1,Setup e Planejamento,Setup do repositório e ambiente,Leonardo,MUST,High,Medium,8.0
2025-06-03,2,Setup e Planejamento,Criação de dataset mínimo,Nathan,MUST,High,Low,6.0
2025-06-04,3,Coleta e Processamento,Coleta de dados principal,Nathan,MUST,High,Medium,8.0
2025-06-05,4,Coleta e Processamento,Rotulagem inicial,"Letícia, Luan",MUST,High,High,12.0
2025-06-06,5,Coleta e Processamento,Pipeline de processamento,"Nathan, Luan",MUST,High,Medium,10.0
2025-06-07,6,Modelo Básico,Baseline com DistilBERT,"Leonardo, Letícia",MUST,High,High,12.0
2025-06-08,7,Modelo Básico,Avaliação inicial,"Carlos, Letícia",MUST,Medium,Medium,6.0
2025-06-09,8,Modelo Básico,Ajustes e refinamentos,"Leonardo, Letícia",SHOULD,Medium,High,8.0
2025-06-10,9,Multi-Label e Interface,Classificação multi-label,"Letícia, Luan",SHOULD,Medium,High,10.0
2025-06-11,10,Multi-Label e Interface,Interface Streamlit,"Carlos, Luan",SHOULD,Medium,Low,6.0
2025-06-12,11,Multi-Label e Interface,Documentação inicial,Carlos,MUST,Low,Low,4.0
2025-06-13,12,Refinamento e Testes,Refinamento de modelos,"Leonardo, Letícia",COULD,Medium,High,8.0
2025-06-14,13,Refinamento e Testes,Testes extensivos,"Carlos, Nathan",SHOULD,High,Medium,8.0
2025-06-15,14,Finalização,Revisão de código,Leonardo,MUST,High,Low,6.0
2025-06-16,15,Finalização,Documentação final,All Team,MUST,High,Medium,8.0
2025-06-17,16,Entrega,Entrega Final,All Team,MUST,High,Low,4.0
